time,cpu%,mem%
20200622-182017,0.0,1.3030069204403345
20200622-182020,6.516666666666667,1.3030069204403345
20200622-182023,4.95,1.3030069204403345
20200622-182026,5.55,1.3030069204403345
20200622-182029,5.733333333333333,1.3029585426679857
20200622-182032,6.166666666666667,1.3029585426679857
20200622-182035,5.733333333333333,1.3029585426679857
20200622-182038,6.8500000000000005,1.3029585426679857
20200622-182041,5.983333333333333,1.3029585426679857
20200622-182044,5.6499999999999995,1.3029585426679857
